iso3,country,emmigrants,year,time_period,indicator
POL,Poland,30140,2008,NA,Number of emigrants - Number
ROU,Romania,302796,2008,NA,Number of emigrants - Number
RUS,Russian Federation,39508,2008,NA,Number of emigrants - Number
SVK,Slovakia,1705,2008,NA,Number of emigrants - Number
SVN,Slovenia,12109,2008,NA,Number of emigrants - Number
UKR,Ukraine,22402,2008,NA,Number of emigrants - Number
ARM,Armenia,4797,2009,2009,Number of emigrants - Number
AZE,Azerbaijan,1373,2009,NA,Number of emigrants - Number
KAZ,Kazakhstan,33985,2009,NA,Number of emigrants - Number
KGZ,Kyrgyzstan,33380,2009,NA,Number of emigrants - Number
TJK,Tajikistan,8284,2009,NA,Number of emigrants - Number
UZB,Uzbekistan,52186,2009,NA,Number of emigrants - Number
BGR,Bulgaria,19039,2009,NA,Number of emigrants - Number
BLR,Belarus,7643,2009,NA,Number of emigrants - Number
CZE,Czech Republic,11629,2009,NA,Number of emigrants - Number
EST,Estonia,4658,2009,NA,Number of emigrants - Number
HRV,Croatia,9940,2009,NA,Number of emigrants - Number
HUN,Hungary,5600,2009,NA,Number of emigrants - Number
LTU,Lithuania,21970,2009,NA,Number of emigrants - Number
LVA,Latvia,38208,2009,NA,Number of emigrants - Number
MDA,Republic of Moldova,6663,2009,NA,Number of emigrants - Number
MKD,The Former Yugoslav Republic of Macedonia,792,2009,NA,Number of emigrants - Number
POL,Poland,41933,2009,NA,Number of emigrants - Number
ROU,Romania,246626,2009,NA,Number of emigrants - Number
RUS,Russian Federation,32458,2009,NA,Number of emigrants - Number
SVK,Slovakia,1979,2009,NA,Number of emigrants - Number
SVN,Slovenia,18788,2009,NA,Number of emigrants - Number
UKR,Ukraine,19470,2009,NA,Number of emigrants - Number
ARM,Armenia,3273,2010,2010,Number of emigrants - Number
AZE,Azerbaijan,799,2010,NA,Number of emigrants - Number
KAZ,Kazakhstan,26541,2010,NA,Number of emigrants - Number
KGZ,Kyrgyzstan,54531,2010,NA,Number of emigrants - Number
TJK,Tajikistan,5379,2010,NA,Number of emigrants - Number
UZB,Uzbekistan,44420,2010,NA,Number of emigrants - Number
BGR,Bulgaria,27708,2010,NA,Number of emigrants - Number
BLR,Belarus,6866,2010,NA,Number of emigrants - Number
CZE,Czech Republic,14867,2010,NA,Number of emigrants - Number
EST,Estonia,5294,2010,NA,Number of emigrants - Number
HRV,Croatia,9860,2010,NA,Number of emigrants - Number
HUN,Hungary,6047,2010,NA,Number of emigrants - Number
LTU,Lithuania,83157,2010,NA,Number of emigrants - Number
LVA,Latvia,39651,2010,NA,Number of emigrants - Number
MDA,Republic of Moldova,4714,2010,NA,Number of emigrants - Number
MKD,The Former Yugoslav Republic of Macedonia,1007,2010,NA,Number of emigrants - Number
POL,Poland,41216,2010,NA,Number of emigrants - Number
ROU,Romania,197985,2010,NA,Number of emigrants - Number
RUS,Russian Federation,33578,2010,NA,Number of emigrants - Number
SVK,Slovakia,1889,2010,NA,Number of emigrants - Number
SVN,Slovenia,15937,2010,NA,Number of emigrants - Number
UKR,Ukraine,14677,2010,NA,Number of emigrants - Number
ARM,Armenia,2637,2011,2011,Number of emigrants - Number
AZE,Azerbaijan,484,2011,NA,Number of emigrants - Number
KAZ,Kazakhstan,32920,2011,NA,Number of emigrants - Number
KGZ,Kyrgyzstan,45740,2011,NA,Number of emigrants - Number
TJK,Tajikistan,3991,2011,NA,Number of emigrants - Number
UZB,Uzbekistan,50816,2011,NA,Number of emigrants - Number
ALB,Albania,55162,2011,NA,Number of emigrants - Number
BGR,Bulgaria,9517,2011,NA,Number of emigrants - Number
BLR,Belarus,7610,2011,NA,Number of emigrants - Number
CZE,Czech Republic,5701,2011,NA,Number of emigrants - Number
EST,Estonia,6214,2011,NA,Number of emigrants - Number
HRV,Croatia,12699,2011,NA,Number of emigrants - Number
HUN,Hungary,2687,2011,NA,Number of emigrants - Number
LTU,Lithuania,53863,2011,NA,Number of emigrants - Number
LVA,Latvia,30311,2011,NA,Number of emigrants - Number
MDA,Republic of Moldova,3920,2011,NA,Number of emigrants - Number
MKD,The Former Yugoslav Republic of Macedonia,1290,2011,NA,Number of emigrants - Number
POL,Poland,44337,2011,NA,Number of emigrants - Number
ROU,Romania,195551,2011,NA,Number of emigrants - Number
RUS,Russian Federation,36774,2011,NA,Number of emigrants - Number
SVK,Slovakia,1863,2011,NA,Number of emigrants - Number
SVN,Slovenia,12024,2011,NA,Number of emigrants - Number
UKR,Ukraine,14588,2011,NA,Number of emigrants - Number
AZE,Azerbaijan,226,2012,2012,Number of emigrants - Number
GEO,Georgia,90584,2012,NA,Number of emigrants - Number
KAZ,Kazakhstan,29722,2012,NA,Number of emigrants - Number
KGZ,Kyrgyzstan,13019,2012,NA,Number of emigrants - Number
TJK,Tajikistan,4155,2012,NA,Number of emigrants - Number
UZB,Uzbekistan,45447,2012,NA,Number of emigrants - Number
ALB,Albania,52307,2012,NA,Number of emigrants - Number
BGR,Bulgaria,16615,2012,NA,Number of emigrants - Number
BLR,Belarus,8712,2012,NA,Number of emigrants - Number
CZE,Czech Republic,20005,2012,NA,Number of emigrants - Number
EST,Estonia,6321,2012,NA,Number of emigrants - Number
HRV,Croatia,12877,2012,NA,Number of emigrants - Number
HUN,Hungary,9916,2012,NA,Number of emigrants - Number
LTU,Lithuania,41100,2012,NA,Number of emigrants - Number
LVA,Latvia,25163,2012,NA,Number of emigrants - Number
MDA,Republic of Moldova,3062,2012,NA,Number of emigrants - Number
MKD,The Former Yugoslav Republic of Macedonia,1415,2012,NA,Number of emigrants - Number
POL,Poland,49731,2012,NA,Number of emigrants - Number
ROU,Romania,170186,2012,NA,Number of emigrants - Number
RUS,Russian Federation,122751,2012,NA,Number of emigrants - Number
SVK,Slovakia,2003,2012,NA,Number of emigrants - Number
SVN,Slovenia,14378,2012,NA,Number of emigrants - Number
UKR,Ukraine,14517,2012,NA,Number of emigrants - Number
AZE,Azerbaijan,781,2013,2013,Number of emigrants - Number
GEO,Georgia,95064,2013,NA,Number of emigrants - Number
KAZ,Kazakhstan,24384,2013,NA,Number of emigrants - Number
KGZ,Kyrgyzstan,11552,2013,NA,Number of emigrants - Number
TJK,Tajikistan,3535,2013,NA,Number of emigrants - Number
UZB,Uzbekistan,38589,2013,NA,Number of emigrants - Number
ALB,Albania,49425,2013,NA,Number of emigrants - Number
BGR,Bulgaria,19678,2013,NA,Number of emigrants - Number
BLR,Belarus,7792,2013,NA,Number of emigrants - Number
CZE,Czech Republic,30876,2013,NA,Number of emigrants - Number
EST,Estonia,6740,2013,NA,Number of emigrants - Number
HRV,Croatia,15262,2013,NA,Number of emigrants - Number
HUN,Hungary,13111,2013,NA,Number of emigrants - Number
LTU,Lithuania,38818,2013,NA,Number of emigrants - Number
LVA,Latvia,22561,2013,NA,Number of emigrants - Number
MDA,Republic of Moldova,2585,2013,NA,Number of emigrants - Number
MKD,The Former Yugoslav Republic of Macedonia,1041,2013,NA,Number of emigrants - Number
POL,Poland,66297,2013,NA,Number of emigrants - Number
ROU,Romania,161755,2013,NA,Number of emigrants - Number
RUS,Russian Federation,186382,2013,NA,Number of emigrants - Number
SVK,Slovakia,2770,2013,NA,Number of emigrants - Number
SVN,Slovenia,13384,2013,NA,Number of emigrants - Number
UKR,Ukraine,22187,2013,NA,Number of emigrants - Number
AZE,Azerbaijan,795,2014,2014,Number of emigrants - Number
GEO,Georgia,88704,2014,NA,Number of emigrants - Number
KAZ,Kazakhstan,28946,2014,NA,Number of emigrants - Number
