iso3,country,emigrants,year,time_period
GEO,Georgia,95064,2013,NA
KAZ,Kazakhstan,24384,2013,NA
KGZ,Kyrgyzstan,11552,2013,NA
TJK,Tajikistan,3535,2013,NA
UZB,Uzbekistan,38589,2013,NA
ALB,Albania,49425,2013,NA
BGR,Bulgaria,19678,2013,NA
BLR,Belarus,7792,2013,NA
CZE,Czech Republic,30876,2013,NA
EST,Estonia,6740,2013,NA
HRV,Croatia,15262,2013,NA
HUN,Hungary,13111,2013,NA
LTU,Lithuania,38818,2013,NA
LVA,Latvia,22561,2013,NA
MDA,Republic of Moldova,2585,2013,NA
MKD,The Former Yugoslav Republic of Macedonia,1041,2013,NA
POL,Poland,66297,2013,NA
ROU,Romania,161755,2013,NA
RUS,Russian Federation,186382,2013,NA
SVK,Slovakia,2770,2013,NA
SVN,Slovenia,13384,2013,NA
UKR,Ukraine,22187,2013,NA
AZE,Azerbaijan,795,2014,2014
GEO,Georgia,88704,2014,NA
KAZ,Kazakhstan,28946,2014,NA
KGZ,Kyrgyzstan,11685,2014,NA
TJK,Tajikistan,3287,2014,NA
UZB,Uzbekistan,42228,2014,NA
ALB,Albania,46525,2014,NA
BGR,Bulgaria,28727,2014,NA
BLR,Belarus,9219,2014,NA
CZE,Czech Republic,19964,2014,NA
EST,Estonia,4637,2014,NA
HRV,Croatia,20858,2014,NA
HUN,Hungary,10828,2014,NA
LTU,Lithuania,36621,2014,NA
LVA,Latvia,19017,2014,NA
MDA,Republic of Moldova,2374,2014,NA
MKD,The Former Yugoslav Republic of Macedonia,839,2014,NA
POL,Poland,54960,2014,NA
ROU,Romania,172871,2014,NA
RUS,Russian Federation,310496,2014,NA
SVK,Slovakia,3644,2014,NA
SVN,Slovenia,14336,2014,NA
UKR,Ukraine,21599,2014,NA
AZE,Azerbaijan,1557,2015,2015
GEO,Georgia,95965,2015,NA
KAZ,Kazakhstan,30047,2015,NA
KGZ,Kyrgyzstan,7788,2015,NA
TJK,Tajikistan,2871,2015,NA
UZB,Uzbekistan,31765,2015,NA
ALB,Albania,41443,2015,NA
BGR,Bulgaria,29470,2015,NA
BLR,Belarus,9855,2015,NA
CZE,Czech Republic,18945,2015,NA
EST,Estonia,13003,2015,NA
HRV,Croatia,29651,2015,NA
HUN,Hungary,10373,2015,NA
LTU,Lithuania,44533,2015,NA
LVA,Latvia,20119,2015,NA
MDA,Republic of Moldova,2236,2015,NA
MKD,The Former Yugoslav Republic of Macedonia,1016,2015,NA
POL,Poland,62601,2015,NA
ROU,Romania,194718,2015,NA
RUS,Russian Federation,353233,2015,NA
SVK,Slovakia,3870,2015,NA
SVN,Slovenia,14913,2015,NA
UKR,Ukraine,21409,2015,NA
AZE,Azerbaijan,1711,2016,2016
GEO,Georgia,98288,2016,NA
KAZ,Kazakhstan,34900,2016,NA
KGZ,Kyrgyzstan,7125,2016,NA
TJK,Tajikistan,2757,2016,NA
UZB,Uzbekistan,28069,2016,NA
ALB,Albania,32532,2016,NA
BGR,Bulgaria,30570,2016,NA
BLR,Belarus,13098,2016,NA
CZE,Czech Republic,17439,2016,NA
EST,Estonia,13792,2016,NA
HRV,Croatia,36436,2016,NA
HUN,Hungary,10464,2016,NA
LTU,Lithuania,50333,2016,NA
LVA,Latvia,20574,2016,NA
MDA,Republic of Moldova,2507,2016,NA
MKD,The Former Yugoslav Republic of Macedonia,630,2016,NA
POL,Poland,44466,2016,NA
ROU,Romania,209456,2016,NA
RUS,Russian Federation,313210,2016,NA
SVK,Slovakia,3801,2016,NA
SVN,Slovenia,15572,2016,NA
