iso3,country,year,education_classification,unemployment (thousands)
AUT,Austria,2014,Education (Aggregate levels): Total,244.8829
AUT,Austria,2014,Education (Aggregate levels): Basic,72.8049
AUT,Austria,2014,Education (Aggregate levels): Intermediate,117.7848
AUT,Austria,2014,Education (Aggregate levels): Advanced,54.2932
AUT,Austria,2015,Education (Aggregate levels): Total,251.8043
AUT,Austria,2015,Education (Aggregate levels): Basic,68.554
AUT,Austria,2015,Education (Aggregate levels): Intermediate,128.1742
AUT,Austria,2015,Education (Aggregate levels): Advanced,55.0762
AUT,Austria,2016,Education (Aggregate levels): Total,270.0349
AUT,Austria,2016,Education (Aggregate levels): Basic,80.381
AUT,Austria,2016,Education (Aggregate levels): Intermediate,136.4003
AUT,Austria,2016,Education (Aggregate levels): Advanced,53.2536
AUT,Austria,2017,Education (Aggregate levels): Total,247.9121
AUT,Austria,2017,Education (Aggregate levels): Basic,81.0016
AUT,Austria,2017,Education (Aggregate levels): Intermediate,118.6887
AUT,Austria,2017,Education (Aggregate levels): Advanced,48.2219
AUT,Austria,2018,Education (Aggregate levels): Total,220.0546
AUT,Austria,2018,Education (Aggregate levels): Basic,69.5961
AUT,Austria,2018,Education (Aggregate levels): Intermediate,100.3471
AUT,Austria,2018,Education (Aggregate levels): Advanced,50.1115
AZE,Azerbaijan,2003,Education (Aggregate levels): Total,404.7
AZE,Azerbaijan,2003,Education (Aggregate levels): Less than basic,0.5
AZE,Azerbaijan,2003,Education (Aggregate levels): Basic,36
AZE,Azerbaijan,2003,Education (Aggregate levels): Intermediate,334.7
AZE,Azerbaijan,2003,Education (Aggregate levels): Advanced,33.5
AZE,Azerbaijan,2006,Education (Aggregate levels): Total,291.2
AZE,Azerbaijan,2006,Education (Aggregate levels): Basic,8.5
AZE,Azerbaijan,2006,Education (Aggregate levels): Intermediate,244.5
AZE,Azerbaijan,2006,Education (Aggregate levels): Advanced,38.3
AZE,Azerbaijan,2007,Education (Aggregate levels): Total,281.1
AZE,Azerbaijan,2007,Education (Aggregate levels): Basic,17.7
AZE,Azerbaijan,2007,Education (Aggregate levels): Intermediate,221.7
